country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.9,,,,,,,,99.3,,,,,99.5,,,99.9,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.8,,,,,,,,,,40.3,,,,,
Sao Tome and Principe,,,,,,,,,,,,73.1,,,,,,,,,,85.2,,,,,,,,,,92.2,,,,,,,80.3,,,,95,,,,,,,,,,96.5,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,,,95.5,,95.4,,94.9,,,,,,,,,96.5,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,99.6,,,,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,57.4,,,,,,,,,,69.7,,,,,,,,,,,,,,83.2,,,,,,,,,,83.9,,,,,,,,,,89.1,,,
Seychelles,,,,,,,,,,,,,,,,,,82.9,,,,,,,87,,,,,,,,91.4,,,,,,,,93.5,,,,,,,,,,95.8,,,
Syria,,,,,,,,,,,,73.6,,,,,,,,,,,,,,,,,,,,,91,,87.8,,,,,,,,,,91.6,,,,,,,97.2,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,18.3,,,,,,,40.8,,,,39.4,,,,,,,,,,,38.9,31.3,,,,,,35.8,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.7,,,,,,70.3,,,71.2,,74.1,,,,77.3,,,,80,,,,
Thailand,,,,,,,,,,,92.2,,,,,,,,,,,,,,,,,,,,94.9,,,,,95.6,,,,,96.4,,,95.3,,94.7,,,95.2,,,95.5,,
Tajikistan,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,99.3,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3,,,,,,58.5,,,63.6,,,,,,,,,,73.3,,,
Tonga,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,98.8,,,,,,,,,,99,,,,,99.3,,,,,,,,,,99.4,,
Trinidad and Tobago,,,,,,,,,,,96.5,,,,,,,,,,98,,,,,,,,,,98.8,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,60.4,,,,,,,,,,,,,,,,,,,,83.4,,,86.1,86.4,,87.4,87.8,88.5,,86.1,,,,,87.8,,,,
Turkey,,,,,,77.5,,,,,81.4,,,,,87.6,,,,,89.8,,,,,,,,,,,,,,95.3,96,96,96.2,,96.4,97.3,97.9,98.3,98.4,98.5,98.6,98.8,98.8,,99.1,,,,
Tanzania,,,,,,,,,,,,,,,,,,,71.4,,,,,,,,,,,,,,77.5,,,,,,,,75.5,,83.4,,,83.2,,,,,,,85.5,
Uganda,,,,,,,,,,,,,,,,,,,,,,68.2,,,,,,,,,,,78.3,,,,81.4,,,,82.6,,79.1,,,,,,82.7,,,,84.8,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,,100,,,,,,,,,100,,
Uruguay,,,,,,93.4,,,,,,,,,,94.8,,,,,,,,,,,96.2,,,,,,,,,,97.4,97.4,97.8,98,97.6,98,98.1,98.1,98,98.1,98.2,98.2,98.4,98.5,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,,,,100,100,100,100,,100,100,,100,100,
St. Vincent and the Grenadines,95.8,,,,,,,,,,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,86.5,,,,,,,,,90.7,,,,,,,,,,,93.3,,,,,,95.4,,95.7,,94.5,,,,96.7,97,,,,,,97.5,
Vietnam,,,,,,,,,,90.4,,,,,,,,,,93,,,,,,,,,,93.9,93.9,,,,,,,,,95.8,,,,,,,,,,97,,,97.2,
Vanuatu,,,,,,,,,,57.3,,,,,62.3,,,,,,,,,,71.8,,,,,,,,,,80.5,,,,,,,,,,86.2,,,,,,,89.8,,
Samoa,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,,,,,,,,,,,,,,,,98.9,,,,,,,,,,99,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,56.7,,,,,,,,,,73.2,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,77.5,,,,,,,,,,,,,,,,84.1,,,,,,,,,,,90.7,,94.1,94.1,94.2,95,,95.3,95.4,,87.7,,95.5,,90.7,,
Zambia,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,76.3,,,80.9,,,,,71.3,,,88.7,,,,,,,,,,91,,,
Zimbabwe,,,,,,,,,,,,,84.2,,,,,,,,,,88.9,,,,,,,,,,,,,,,,,,,87.8,,,89.2,,,,,,,,88.2,
