country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.1,,,,,,,,96.7,,,,,98.2,,,99.1,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,,,,,,,,,,28.9,,,,,
Sao Tome and Principe,,,,,,,,,,,,42.4,,,,,,,,,,61.9,,,,,,,,,,77.9,,,,,,,60.1,,,,85.4,,,,,,,,,,91.1,
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,,,,93.8,,94,,91,,,,,,,,,93.4,,
Slovenia,,,,,,,,,,,,,,,,,,,,,,99.5,,,,,,,,,,99.6,,,,,,,,,,,,,,,,,,,,,,
Eswatini,,,,,,,53.7,,,,,,,,,,65.2,,,,,,,,,,,,,,80.3,,,,,,,,,,82.4,,,,,,,,,,89.5,,,
Seychelles,,,,,,,,,,,,,,,,,,85.5,,,,,,,88.6,,,,,,,,92.3,,,,,,,,94.4,,,,,,,,,,96.7,,,
Syria,,,,,,,,,,,,37.1,,,,,,,,,,,,,,,,,,,,,74.2,,73.6,,,,,,,,,,80.9,,,,,,,91.8,,
Chad,,,,,,,,,,,,,,,,,,,,,,,,4.59,,,,,,,12.8,,,,18,,,,,,,,,,,13.9,14,,,,,,18.9,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5,,,,,,44.4,,,43.6,,48,,,,51.2,,,,55.1,,,,
Thailand,,,,,,,,,,,83.9,,,,,,,,,,,,,,,,,,,,90.5,,,,,91.5,,,,,96.4,,,92.2,,91.2,,,92.4,,,92.8,,
Tajikistan,,,,,,,,,,,,,,,,,,,,96.6,,,,,,,,,,,99.2,,,,,,,,,,99.6,,,,,,,,,,,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,,,,,,,99.2,,,,,,,,,,,,,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,42.5,,,53,,,,,,,,,,66.5,,,
Tonga,,,,,,,99.5,,,,,,,,,,,,,,,,,,,,99,,,,,,,,,,99.1,,,,,99.4,,,,,,,,,,99.5,,
Trinidad and Tobago,,,,,,,,,,,93.5,,,,,,,,,,95.7,,,,,,,,,,97.1,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,,,,,,,,,,,,,,,35.8,,,,,,,,,,,,,,,,,,,,65.3,,,68.5,69.2,,71.1,71.7,72.2,,72.2,,,,,73.7,,,,
Turkey,,,,,,45.1,,,,,49.8,,,,,64.2,,,,,68.5,,,,,,,,,,,,,,79.6,80.5,80.4,81.3,,85.3,88.1,90.3,91.6,92.1,92.4,92.6,93.6,93.5,,94.4,,,,
Tanzania,,,,,,,,,,,,,,,,,,,48.1,,,,,,,,,,,,,,62.2,,,,,,,,60.8,,73.3,,,73.1,,,,,,,78.7,
Uganda,,,,,,,,,,,,,,,,,,,,,,44.8,,,,,,,,,,,58.9,,,,62.1,,,,64.6,,62,,,,,,70.8,,,,76.5,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.2,,,,,,,,,,,100,,,,,,,,,100,,
Uruguay,,,,,,94.3,,,,,,,,,,95.9,,,,,,,,,,,97.3,,,,,,,,,,98.1,98.2,98.5,98.5,98.5,98.6,98.7,98.6,98.8,98.9,98.9,99,99,99,,,,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.1,,,,,,,,,,,,,100,100,100,100,,100,100,,100,100,
St. Vincent and the Grenadines,95.5,,,,,,,,,,96.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,,,,,,,,,,,,83,,,,,,,,,89,,,,,,,,,,,92.7,,,,,,94.9,,95.4,,95,,,,96.6,97.2,,,,,,97.7,
Vietnam,,,,,,,,,,78.1,,,,,,,,,,82.8,,,,,,,,,,86.9,86.6,,,,,,,,,91.4,,,,,,,,,,94.6,,,95.1,
Vanuatu,,,,,,,,,,47.8,,,,,53.7,,,,,,,,,,65.6,,,,,,,,,,76.2,,,,,,,,,,83.2,,,,,,,88.4,,
Samoa,,,,,,,,,,,,,,,,,,,,,,97.4,,,,,,,,,,,,,,,,,,,,99.1,,,,,,,,,,99.3,,
Yemen,,,,,,,,,,,,,,,,,,,,,,,,,17.1,,,,,,,,,,35,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,74.8,,,,,,,,,,,,,,,,80.9,,,,,,,,,,,87,,91.8,91.7,92,92.6,,93.1,93.4,,86.5,,94.5,,89.4,,
Zambia,,,,,,,,,,,,,,,,,,,,,57.4,,,,,,,,,59.8,,,61.8,,,,,51.8,,,77.7,,,,,,,,,,84.3,,,
Zimbabwe,,,,,,,,,,,,,71.9,,,,,,,,,,78.5,,,,,,,,,,,,,,,,,,,80.1,,,88.3,,,,,,,,91.2,
